epoch,accuracy,loss,val_accuracy,val_loss
0,0.4150390625,1.6867114305496216,0.5535714030265808,1.330769658088684
1,0.7138671875,0.9813130497932434,0.75,0.852764904499054
2,0.81640625,0.6640486121177673,0.7767857313156128,0.6784030795097351
3,0.876953125,0.4975866675376892,0.7946428656578064,0.5947936177253723
4,0.9189453125,0.363320529460907,0.8571428656578064,0.48697254061698914
5,0.958984375,0.2675701975822449,0.9375,0.37804746627807617
6,0.9755859375,0.21554714441299438,0.9196428656578064,0.30815479159355164
7,0.9873046875,0.16976827383041382,0.9553571343421936,0.29728201031684875
8,0.990234375,0.14900757372379303,0.9196428656578064,0.34062227606773376
9,0.998046875,0.12486588209867477,0.9464285969734192,0.2536526620388031
10,0.998046875,0.11168519407510757,0.9464285969734192,0.23618625104427338
11,1.0,0.09075134992599487,0.9553571343421936,0.2390705794095993
12,1.0,0.08772239089012146,0.9464285969734192,0.2385704070329666
13,1.0,0.07888157665729523,0.9553571343421936,0.22352482378482819
14,1.0,0.07403971254825592,0.9642857313156128,0.2045219987630844
15,1.0,0.06825509667396545,0.9464285969734192,0.21830867230892181
16,1.0,0.06261367350816727,0.9375,0.2137375921010971
17,1.0,0.059277817606925964,0.9464285969734192,0.19514772295951843
18,1.0,0.05590717867016792,0.9464285969734192,0.20118603110313416
19,1.0,0.050859689712524414,0.9464285969734192,0.19005186855793
20,1.0,0.0480073019862175,0.9642857313156128,0.1862315833568573
21,1.0,0.043966080993413925,0.9553571343421936,0.197246715426445
22,1.0,0.04325632378458977,0.9553571343421936,0.1901709884405136
23,1.0,0.04044753685593605,0.9464285969734192,0.2084214985370636
24,1.0,0.03807303309440613,0.9464285969734192,0.20108887553215027
25,1.0,0.037448201328516006,0.9553571343421936,0.20157864689826965
26,1.0,0.03428953140974045,0.9642857313156128,0.18853048980236053
27,1.0,0.03242764249444008,0.9642857313156128,0.1906122863292694
28,1.0,0.0326567068696022,0.9464285969734192,0.1947064846754074
29,1.0,0.03048858605325222,0.9553571343421936,0.19663725793361664
