epoch,accuracy,loss,val_accuracy,val_loss
0,0.490234375,1.5034608840942383,0.6696428656578064,0.9892607927322388
1,0.7939453125,0.7263138294219971,0.75,0.7869499325752258
2,0.880859375,0.4859442710876465,0.8125,0.5929129719734192
3,0.9453125,0.31126099824905396,0.8214285969734192,0.5313341021537781
4,0.951171875,0.2655189335346222,0.8839285969734192,0.4599762558937073
5,0.9658203125,0.21840785443782806,0.9375,0.2695865035057068
6,0.966796875,0.21196679770946503,0.8392857313156128,0.5070651173591614
7,0.96484375,0.2213018387556076,0.9196428656578064,0.32517167925834656
8,0.986328125,0.15131346881389618,0.9285714030265808,0.2618015706539154
9,0.9921875,0.1200614646077156,0.9642857313156128,0.2219218909740448
10,0.990234375,0.12039657682180405,0.9375,0.26150840520858765
11,0.9912109375,0.11094072461128235,0.9464285969734192,0.22136175632476807
12,0.9970703125,0.08890789747238159,0.9553571343421936,0.21639883518218994
13,0.9970703125,0.08633168041706085,0.9553571343421936,0.2174624502658844
14,0.9921875,0.09589262306690216,0.9285714030265808,0.27941328287124634
15,0.9990234375,0.08104893565177917,0.9642857313156128,0.21119168400764465
16,0.9990234375,0.07081045210361481,0.9464285969734192,0.23510758578777313
17,0.9931640625,0.08528317511081696,0.9464285969734192,0.21541300415992737
18,0.9951171875,0.07628178596496582,0.9553571343421936,0.19423381984233856
19,0.998046875,0.06356273591518402,0.9642857313156128,0.19744965434074402
20,0.994140625,0.07086958736181259,0.9732142686843872,0.16435399651527405
21,1.0,0.05628765746951103,0.9553571343421936,0.21216091513633728
22,1.0,0.05162166804075241,0.9642857313156128,0.18945206701755524
23,1.0,0.049589864909648895,0.9553571343421936,0.20596836507320404
24,1.0,0.047795847058296204,0.9553571343421936,0.19661198556423187
25,1.0,0.0457891970872879,0.9553571343421936,0.1871829330921173
26,1.0,0.043948374688625336,0.9553571343421936,0.17875659465789795
27,1.0,0.04236578196287155,0.9553571343421936,0.1864788681268692
28,1.0,0.04087458923459053,0.9732142686843872,0.16669389605522156
29,1.0,0.040140654891729355,0.9642857313156128,0.18085303902626038
